arrest,beat,block,community_area,description,district,domestic,fbi_code,iucr,location_description,location_type,primary_type,ward,year
,1125,0000X E MARQUETTE RD,,ILLEGAL POSSESSION BY MINOR,,,,1241,,,,,
,1131,0000X E MONROE ST,,ILLEGAL POSSESSION CASH CARD,,,,1242,,,,,
,1132,0000X E NORTH AVE,,ILLEGAL USE CASH CARD,,,,1245,,,,,
,1133,0000X E OAK ST,,IMPERSONATION,,,,1255,,,,,
,1134,0000X E OHIO ST,,INDECENT SOLICITATION/ADULT,,,,1260,,,,,
,1135,0000X E ONTARIO ST,,INDECENT SOLICITATION/CHILD,,,,1261,,,,,
,1211,0000X E PEARSON ST,,INSTITUTIONAL VANDALISM,,,,1265,,,,,
,1212,0000X E PERSHING RD,,INSURANCE FRAUD,,,,1305,,,,,
,1213,0000X E RANDOLPH ST,,INTERFERE W/ EMERGENCY EQUIP,,,,1310,,,,,
,1214,0000X E RIVERWALK S,,INTERFERENCE JUDICIAL PROCESS,,,,1320,,,,,
,1215,0000X E ROOSEVELT RD,,INTIMIDATION,,,,1330,,,,,
,1221,0000X E Randolph St,,INTIMIDATION OF LAW ENFORCEMENT OFFICIAL,,,,1335,,,,,
,1222,0000X E SCHILLER ST,,INTOXICATING COMPOUNDS,,,,1340,,,,,
,1223,0000X E SCOTT ST,,INVOLUNTARY SERVITUDE,,,,1345,,,,,
,1224,0000X E SUPERIOR ST,,KEEP PLACE OF PROSTITUTION,,,,1350,,,,,
,1225,0000X E VAN BUREN ST,,KIDNAPPING,,,,1360,,,,,
,1231,0000X E WACKER DR,,LIBRARY THEFT,,,,1365,,,,,
,1232,0000X E WACKER PL,,LIBRARY VANDALISM,,,,1370,,,,,
,1233,0000X E WALTON ST,,LICENSE VIOLATION,,,,1375,,,,,
,1234,0000X E WASHINGTON ST,,LICENSED PREMISE,,,,1435,,,,,
,1235,0000X E Washington St,,LIQUOR LICENSE VIOLATION,,,,1440,,,,,
,1411,0000X N ABERDEEN ST,,LOST PASSPORT,,,,1450,,,,,
,1412,0000X N ALBANY AVE,,MANU/DEL:CANNABIS 10GM OR LESS,,,,1460,,,,,
,1413,0000X N ASHLAND AVE,,MANU/DEL:CANNABIS OVER 10 GMS,,,,1475,,,,,
,1414,0000X N AUSTIN BLVD,,MANU/DELIVER: HALLUCINOGEN,,,,1476,,,,,
,1421,0000X N BISHOP ST,,MANU/DELIVER: HEROIN (WHITE),,,,1477,,,,,
,1422,0000X N CALIFORNIA AVE,,MANU/DELIVER: HEROIN(BRN/TAN),,,,1478,,,,,
,1423,0000X N CANAL ST,,MANU/DELIVER: METHAMPHETAMINES,,,,1479,,,,,
,1424,0000X N CENTRAL AVE,,MANU/DELIVER:AMPHETAMINES,,,,1480,,,,,
,1431,0000X N CICERO AVE,,MANU/DELIVER:BARBITUATES,,,,1481,,,,,
,1432,0000X N CLARK ST,,MANU/DELIVER:COCAINE,,,,1505,,,,,
,1433,0000X N CLINTON ST,,MANU/DELIVER:CRACK,,,,1506,,,,,
,1434,0000X N DAMEN AVE,,MANU/DELIVER:PCP,,,,1507,,,,,
,1511,0000X N DEARBORN ST,,MANU/DELIVER:SYNTHETIC DRUGS,,,,1510,,,,,
,1512,0000X N Dearborn St,,MANU/POSS. W/INTENT TO DELIVER: SYNTHETIC MARIJUANA,,,,1511,,,,,
,1513,0000X N ELIZABETH ST,,MINOR MISREPRESENT AGE,,,,1512,,,,,
,1522,0000X N FRANCISCO AVE,,MOB ACTION,,,,1513,,,,,
,1523,0000X N FRANKLIN ST,,MONEY LAUNDERING,,,,1515,,,,,
,1524,0000X N GARLAND CT,,NON-AGGRAVATED,,,,1520,,,,,
,1531,0000X N HALSTED ST,,NOTIFICATION OF CIVIL NO CONTACT ORDER,,,,1521,,,,,
,1532,0000X N HAMLIN BLVD,,NOTIFICATION OF STALKING - NO CONTACT ORDER,,,,1525,,,,,
,1533,0000X N HERMITAGE AVE,,OBSCENE MATTER,,,,1526,,,,,
,1612,0000X N HOMAN BLVD,,OBSCENE TELEPHONE CALLS,,,,1530,,,,,
,1613,0000X N HOYNE AVE,,OBSCENITY,,,,1531,,,,,
,1614,0000X N KARLOV AVE,,OBSTRUCTING IDENTIFICATION,,,,1535,,,,,
,1622,0000X N KEDZIE AVE,,OBSTRUCTING JUSTICE,,,,1536,,,,,
,1623,0000X N KEELER AVE,,OBSTRUCTING SERVICE,,,,1537,,,,,
,1624,0000X N KENTON AVE,,OF UNBORN CHILD,,,,1540,,,,,
,1631,0000X N KILBOURN AVE,,OFFICIAL MISCONDUCT,,,,1541,,,,,
,1632,0000X N KILDARE AVE,,OTHER,,,,1542,,,,,
,1633,0000X N KILPATRICK AVE,,OTHER ARSON/EXPLOSIVE INCIDENT,,,,1544,,,,,
,1634,0000X N KOSTNER AVE,,OTHER CRIME AGAINST PERSON,,,,1549,,,,,
,1651,0000X N LA SALLE ST,,OTHER CRIME INVOLVING PROPERTY,,,,1562,,,,,
,1652,0000X N LAMON AVE,,OTHER OFFENSE,,,,1563,,,,,
,1653,0000X N LARAMIE AVE,,OTHER PROSTITUTION OFFENSE,,,,1564,,,,,
,1655,0000X N LATROBE AVE,,OTHER VEHICLE OFFENSE,,,,1565,,,,,
,1711,0000X N LAVERGNE AVE,,OTHER VIOLATION,,,,1566,,,,,
,1712,0000X N LEAVITT ST,,OTHER WEAPONS VIOLATION,,,,1570,,,,,
,1713,0000X N LECLAIRE AVE,,OVER $500,,,,1572,,,,,
,1722,0000X N LOCKWOOD AVE,,PANDERING,,,,1574,,,,,
,1723,0000X N LONG AVE,,PAROLE VIOLATION,,,,1576,,,,,
,1724,0000X N LOOMIS ST,,PAY TV SERVICE OFFENSES,,,,1578,,,,,
,1731,0000X N LOREL AVE,,PEEPING TOM,,,,1580,,,,,
